filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,onset_strength,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
.\chunked_audio_files_drunk\DrunkHistory-TeddyRooseveltLeadsHisRoughRidersIntoBattleCHUNK1.wav,0.4601876139640808,0.04738571494817734,1738.8432868460902,2131.4733642721094,3552.2459427351805,0.06811573775773196,1.6914491653442383,-295.9691467285156,117.13397979736328,13.917037963867188,29.363338470458984,8.034890174865723,8.561161041259766,-10.943607330322266,3.1236178874969482,-0.20085574686527252,1.3484903573989868,-0.576257050037384,7.015709400177002,2.1217150688171387,3.279651641845703,-0.3937869966030121,4.626439571380615,-1.8309369087219238,1.0819637775421143,0.40306589007377625,0.7513928413391113,0
.\chunked_audio_files_drunk\DrunkHistory-TeddyRooseveltLeadsHisRoughRidersIntoBattleCHUNK10.wav,0.3645833432674408,0.06849327683448792,1411.641982593664,1826.4243061289424,2629.7154251149664,0.06086042015050167,1.5414202213287354,-239.08721923828125,145.33834838867188,6.599979400634766,20.41444206237793,6.306362152099609,10.121169090270996,-12.867029190063477,-0.30167755484580994,-5.483153343200684,2.7451956272125244,-1.36191987991333,6.451848983764648,-0.07846584916114807,2.402954578399658,0.2179589420557022,4.938159942626953,-1.6615285873413086,0.46913519501686096,0.7438122034072876,-2.567826509475708,0
.\chunked_audio_files_drunk\DrunkHistory-TeddyRooseveltLeadsHisRoughRidersIntoBattleCHUNK11.wav,0.37683987617492676,0.06677790731191635,1571.642455275745,1891.8786029480177,2904.1767928033387,0.07457502035830618,1.5834120512008667,-229.30030822753906,140.0221405029297,5.99686861038208,19.064481735229492,9.339670181274414,9.84819221496582,-13.141221046447754,0.9912785291671753,-1.96334707736969,2.948512554168701,-2.0861098766326904,3.759533405303955,0.7822824120521545,3.7784698009490967,2.156667470932007,4.514365196228027,-3.1943867206573486,1.3620028495788574,0.9053383469581604,-1.0528638362884521,0
.\chunked_audio_files_drunk\DrunkHistory-TeddyRooseveltLeadsHisRoughRidersIntoBattleCHUNK12.wav,0.3613203763961792,0.06708017736673355,1654.8878179933529,1929.3757432997377,2919.8791064804404,0.08251426202787769,1.5043662786483765,-229.1729278564453,136.45297241210938,10.497517585754395,16.193077087402344,9.38428783416748,12.220514297485352,-15.333601951599121,2.0337817668914795,-1.4930975437164307,1.0258426666259766,-0.9135725498199463,2.167752742767334,0.07121532410383224,6.7617363929748535,4.5435051918029785,5.80112886428833,-4.102381706237793,3.894378423690796,0.39947280287742615,-1.0359656810760498,0
.\chunked_audio_files_drunk\DrunkHistory-TeddyRooseveltLeadsHisRoughRidersIntoBattleCHUNK13.wav,0.347075879573822,0.07656576484441757,1611.3770192276454,1870.6200800678403,2807.642578125,0.08150607638888889,1.5046182870864868,-226.78343200683594,137.801513671875,11.488819122314453,20.23032569885254,10.83242416381836,11.991801261901855,-17.817737579345703,2.1559317111968994,-3.2919492721557617,0.07490546256303787,-3.7723679542541504,2.5030691623687744,-1.5135114192962646,5.875548362731934,6.37080192565918,4.752361297607422,-4.500468730926514,2.8724522590637207,0.5468776822090149,-1.2560712099075317,0
.\chunked_audio_files_drunk\DrunkHistory-TeddyRooseveltLeadsHisRoughRidersIntoBattleCHUNK14.wav,0.43087875843048096,0.062373556196689606,1682.1741810511096,1991.5879519835491,3322.64891798123,0.0745073507388179,1.3698146343231201,-218.99066162109375,131.14730834960938,5.829030513763428,27.684885025024414,4.911576271057129,10.965024948120117,-11.300311088562012,5.262790679931641,-0.4470560550689697,6.048995494842529,-3.3251497745513916,6.283051013946533,-1.672455072402954,5.6882405281066895,4.11428689956665,5.882744789123535,-1.6407006978988647,3.228513240814209,0.4947091341018677,-0.28227853775024414,0
.\chunked_audio_files_drunk\DrunkHistory-TeddyRooseveltLeadsHisRoughRidersIntoBattleCHUNK15.wav,0.48959672451019287,0.04539394751191139,1901.9419472463392,2164.4994797405498,3955.8349609375,0.07932521967120182,1.4023282527923584,-294.8414611816406,117.08072662353516,6.315591335296631,22.200056076049805,1.3115673065185547,5.822154998779297,-7.596744060516357,2.2649271488189697,0.3302119970321655,4.553510665893555,-2.9118709564208984,4.449378490447998,-0.20618779957294464,3.62223744392395,1.4599199295043945,4.966774940490723,-1.8204067945480347,2.823331356048584,-0.589560329914093,-0.028546443209052086,0
.\chunked_audio_files_drunk\DrunkHistory-TeddyRooseveltLeadsHisRoughRidersIntoBattleCHUNK16.wav,0.49687591195106506,0.04275518283247948,1890.8577608062733,2121.288661932938,3942.1959260923672,0.08131539223820058,1.5250096321105957,-331.0700988769531,120.77687072753906,5.337196350097656,16.015945434570312,3.8384387493133545,3.374082088470459,-9.483298301696777,-1.6983325481414795,-0.34318023920059204,0.8789564967155457,-5.003438472747803,1.4662749767303467,-0.4818723797798157,1.4302579164505005,-1.1386548280715942,2.572361707687378,-3.3725931644439697,1.419245719909668,-2.477372646331787,-0.7238813638687134,0
.\chunked_audio_files_drunk\DrunkHistory-TeddyRooseveltLeadsHisRoughRidersIntoBattleCHUNK17.wav,0.40335363149642944,0.07091570645570755,1488.1123588523665,1732.6084390238332,2796.5444080865204,0.07258446536847014,1.6284794807434082,-233.0731964111328,153.2953643798828,0.9898635149002075,19.116073608398438,4.069601058959961,7.3390045166015625,-16.970001220703125,2.4081614017486572,0.4970718026161194,-5.178793907165527,-3.7711973190307617,-0.32147011160850525,-3.1716787815093994,4.812386989593506,-3.12778902053833,0.9993493556976318,-4.763110637664795,0.10320556908845901,-4.384214878082275,-1.794812560081482,0
.\chunked_audio_files_drunk\DrunkHistory-TeddyRooseveltLeadsHisRoughRidersIntoBattleCHUNK18.wav,0.3741309642791748,0.07678642123937607,1568.4903224513246,1740.860117028732,2875.93655873494,0.07749356802208836,1.6644701957702637,-211.37057495117188,153.12069702148438,1.5839331150054932,17.66484260559082,6.914117813110352,5.437223434448242,-21.603805541992188,5.431128025054932,0.8410561084747314,-6.4522294998168945,-3.344761610031128,0.3895402252674103,-3.050902843475342,5.0636725425720215,-2.397524356842041,1.9491922855377197,-6.119076251983643,-0.7534818053245544,-5.601090908050537,-2.2015814781188965,0
